iter	MultiClass
0	1.268360166
1	1.178169694
2	1.103146084
3	1.04673468944	0.990334068955	0.9430727514
6	0.8920908566
7	0.8498867846
8	0.8232637506
9	0.7891220547
10	0.7574415558
11	0.7276395248
12	0.7009193778
13	0.6795403593
14	0.6572359159
15	0.6381424097
16	0.6182303552
17	0.6019673704
18	0.5852549546
19	0.5689413921
20	0.557643772
21	0.5430566625
22	0.5306413679
23	0.5194831852
24	0.5086983204
25	0.499172161
26	0.4915472023
27	0.4848419052
28	0.476387137
29	0.4669409237
30	0.4609414777
31	0.4529919234
32	0.4476025419
33	0.440512724
34	0.4344779633
35	0.4293435833
36	0.423840842
37	0.4188321544
38	0.4136948311
39	0.4064467163
40	0.4017831548
41	0.396095452
42	0.391092353
43	0.386066736
44	0.3817087816
45	0.3767086376
46	0.3723453548
47	0.3692843908
48	0.3637072553
49	0.3598125735
50	0.3550071941
51	0.3513064673
52	0.347377207
53	0.3424432896
54	0.3394380427
55	0.3363353991
56	0.3334221301
57	0.3303388167
58	0.3263905697
59	0.3233021471
60	0.3211790333
61	0.3180938329
62	0.3151993215
63	0.3135135009
64	0.310538201
65	0.3082669915
66	0.3054617986
67	0.3014913259
68	0.2977406462
69	0.2955378212
70	0.2932296867
71	0.2910450826
72	0.2890454373
73	0.2868814451
74	0.284589476
75	0.282574834
76	0.2799136741
77	0.2777411618
78	0.2749938053
79	0.2726658146
80	0.2699270453
81	0.2686215462
82	0.2657612198
83	0.2641893278
84	0.2618735063
85	0.2604679124
86	0.2590714836
87	0.2573816241
88	0.2558306837
89	0.2544167228
90	0.2522263878
91	0.2497798138
92	0.2474838355
93	0.2462585702
94	0.2444301012
95	0.2426905225
96	0.2414083965
97	0.2403033842
98	0.2384093526
99	0.2372194071
100	0.2348957818
101	0.233596868
102	0.2318923313
103	0.2308238804
104	0.2291537976
105	0.2277531617
106	0.2256136969
107	0.2238936585
108	0.2224843417
109	0.2208726553
110	0.2197044007
111	0.2180414225
112	0.2165930447
113	0.2146363511
114	0.2134888957
115	0.2122106094
116	0.2108373075
117	0.2095195263
118	0.2085180944
119	0.2074908274
120	0.206090082
121	0.204846734
122	0.2036788618
123	0.2021186054
124	0.2004004892
125	0.1991151662
126	0.1974944228
127	0.1963978142
128	0.194679746
129	0.1927165046
130	0.192033008
131	0.1904154956
132	0.1898016024
133	0.1889978848
134	0.1883700621
135	0.1874170144
136	0.1860117828
137	0.1847157084
138	0.1839238394
139	0.1825667819
140	0.1817961543
141	0.1805875922
142	0.1795830572
143	0.1778428207
144	0.1771882907
145	0.1763435555
146	0.1754671595
147	0.1748675494
148	0.1738457099
149	0.1729213149
150	0.1723548289
151	0.1712690186
152	0.1709039636
153	0.1700332073
154	0.1694450383
155	0.1682880541
156	0.1674333134
157	0.1662266749
158	0.1653479985
159	0.1648649869
160	0.1638262299
161	0.1630085813
162	0.1620998219
163	0.1616573063
164	0.160660167
165	0.160063287
166	0.159428235
167	0.1587109115
168	0.1579716685
169	0.1572711954
170	0.1569208355
171	0.1564599124
172	0.155760033
173	0.1548463174
174	0.1535675752
175	0.1532369963
176	0.152849072
177	0.1522893094
178	0.151490562
179	0.1505548769
180	0.1500557701
181	0.1494788453
182	0.1487395961
183	0.1477514284
184	0.1470206208
185	0.1464915008
186	0.1456910583
187	0.1452717104
188	0.1443503663
189	0.1438853017
190	0.1432797812
191	0.1428122489
192	0.1423575309
193	0.1415600823
194	0.1411234043
195	0.1407956319
196	0.1405059035
197	0.1401212409
198	0.1394691113
199	0.1387893177
200	0.1382723143
201	0.1376362875
202	0.1372249959
203	0.136537523
204	0.1356648928
205	0.1351787014
206	0.1347941423
207	0.1342960079
208	0.1339206491
209	0.1334273016
210	0.1331141332
211	0.1327274579
212	0.1322203758
213	0.1317848503
214	0.1314023516
215	0.1310318934
216	0.1305658344
217	0.1298981463
218	0.1293761247
219	0.1290224212
220	0.1286010722
221	0.1278092643
222	0.1272932673
223	0.1269165083
224	0.1262225456
225	0.1259075625
226	0.1255079689
227	0.1246663421
228	0.1240648365
229	0.1237450781
230	0.1231931633
231	0.1227029297
232	0.1221561843
233	0.1217770346
234	0.1212772757
235	0.1208114264
236	0.1203388514
237	0.1199074332
238	0.119482693
239	0.1192215507
240	0.1189813511
241	0.1182843798
242	0.1176884393
243	0.1173471533
244	0.1168726211
245	0.1165312662
246	0.1161110338
247	0.1157411244
248	0.1153049655
249	0.1150071532
250	0.1144247282
251	0.1142422708
252	0.113903771
253	0.1132884957
254	0.1126828658
255	0.1121998366
256	0.1118084851
257	0.1114478056
258	0.1109549112
259	0.1106242626
260	0.1104013531
261	0.1100247983
262	0.1097788977
263	0.1095385509
264	0.1093698219
265	0.1089107722
266	0.1086593098
267	0.108350308
268	0.1080060692
269	0.1076944343
270	0.1073900521
271	0.1070965204
272	0.1069158886
273	0.1067326706
274	0.1064995118
275	0.1061893875
276	0.1059478026
277	0.105746606
278	0.1054049707
279	0.1050637035
280	0.1048404966
281	0.1046028726
282	0.104372136
283	0.1040737972
284	0.1038901791
285	0.1036620709
286	0.1033274058
287	0.1030484421
288	0.1027670297
289	0.1022476175
290	0.1020662012
291	0.1018664968
292	0.1017105811
293	0.1012611372
294	0.1009188138
295	0.1006013624
296	0.1004376042
297	0.1002743282
298	0.09968577965
299	0.09944073318
300	0.09936557091
301	0.09908705114
302	0.09902622427
303	0.09863984327
304	0.09842109813
305	0.09814939784
306	0.0978557214
307	0.09744386479
308	0.09721715193
309	0.09684097559
310	0.09656839352
311	0.09618523592
312	0.09596023792
313	0.09575971979
314	0.09555404365
315	0.09536291696
316	0.09497390513
317	0.09481890807
318	0.09451844074
319	0.09430701792
320	0.09423007002
321	0.09401157889
322	0.09339116815
323	0.09309515649
324	0.09276062494
325	0.09248415461
326	0.09228037865
327	0.09212320661
328	0.09196874989
329	0.09162456501
330	0.09127382496
331	0.09110637698
332	0.0907910879
333	0.09059850184
334	0.09032553515
335	0.08988627201
336	0.08951926646
337	0.08937016738
338	0.08915251442
339	0.0886630531
340	0.08838781143
341	0.08794198166
342	0.08742612533
343	0.08705242345
344	0.08680330377
345	0.08653353885
346	0.08617015722
347	0.08604216559
348	0.08584618519
349	0.08570808467
350	0.08543822637
351	0.08523393572
352	0.08514215174
353	0.08505882834
354	0.08474777
355	0.08446806303
356	0.08429278267
357	0.08398242884
358	0.08351150902
359	0.08340006666
360	0.08310575418
361	0.08295033612
362	0.08259123068
363	0.08251033259
364	0.08228850864
365	0.08212048079
366	0.08179516097
367	0.08163300947
368	0.08129435788
369	0.08107661496
370	0.08086996097
371	0.0807422903
372	0.0805287738
373	0.08042663595
374	0.08032316935
375	0.0801736558
376	0.0800533576
377	0.07985911901
378	0.07966219451
379	0.07940031095
380	0.07927493009
381	0.0789151594
382	0.07867284394
383	0.07844226975
384	0.07833662534
385	0.07811746998
386	0.07775491618
387	0.07755160525
388	0.07736226615
389	0.0772137106
390	0.07695617227
391	0.07676675381
392	0.07664748794
393	0.07649801388
394	0.0763139638
395	0.07613027469
396	0.07603771631
397	0.07580306905
398	0.07564664027
399	0.07547808727
400	0.07536616283
401	0.07507798531
402	0.07494865695
403	0.07464584357
404	0.07451800144
405	0.0742570933
406	0.07390464253
407	0.0737099555
408	0.07350231335
409	0.07339333449
410	0.07322723305
411	0.07302609048
412	0.0728911516
413	0.07265478558
414	0.07250181386
415	0.07225973919
416	0.07193298957
417	0.07178354832
418	0.07156384698
419	0.07125324212
420	0.0710542849
421	0.07091578359
422	0.07081625649
423	0.07066321736
424	0.07050767256
425	0.07032860805
426	0.07008739528
427	0.06992902216
428	0.06982947863
429	0.06964290388
430	0.06955983421
431	0.0694216994
432	0.06922816923
433	0.06889339761
434	0.06871108467
435	0.06848574726
436	0.06826228675
437	0.06802501903
438	0.06776537587
439	0.06767148372
440	0.06744284796
441	0.06726165621
442	0.06709511019
443	0.06685495339
444	0.06678219607
445	0.06666524467
446	0.06646674162
447	0.06626212812
448	0.06587282313
449	0.06574669161
450	0.06559485101
451	0.06550430331
452	0.06544206243
453	0.06533367705
454	0.06518026291
455	0.06496155735
456	0.06488722891
457	0.06477999288
458	0.06469591935
459	0.06463167037
460	0.06452017181
461	0.06433592462
462	0.06418733986
463	0.06397563339
464	0.0637413364
465	0.06361130339
466	0.06349519837
467	0.06338707123
468	0.06324753937
469	0.06310359676
470	0.06296776013
471	0.06282834088
472	0.06272996331
473	0.06261606755
474	0.0625239044
475	0.06226050526
476	0.06216085026
477	0.06206833358
478	0.06162567812
479	0.06156056094
480	0.06142041525
481	0.06128384655
482	0.06104806649
483	0.06092345228
484	0.06088457414
485	0.06080505647
486	0.06069946571
487	0.06058308718
488	0.06048571299
489	0.06037997652
490	0.06025975162
491	0.0601566583
492	0.05998805896
493	0.05993502828
494	0.05988007277
495	0.05970777686
496	0.05959700789
497	0.05950594011
498	0.0594346463
499	0.05915244246
500	0.05903157389
501	0.05899186791
502	0.05882667735
503	0.05868674538
504	0.05858912062
505	0.05838495697
506	0.05823523824
507	0.058141198
508	0.05804317175
509	0.05789104105
510	0.05770428421
511	0.05755732182
512	0.05748340738
513	0.05741943798
514	0.0572731321
515	0.05711433288
516	0.05698685719
517	0.05684661027
518	0.05678527794
519	0.05658063932
520	0.0564114496
521	0.05631794368
522	0.05621919115
523	0.05617890978
524	0.05603013368
525	0.05594028683
526	0.05587054258
